wk_subject_id,kanji,primary_meaning,other_meanings,onyomi,kunyomi,nanori,radical_subject_ids,radical_characters,radical_meanings,visually_similar_subject_ids,visually_similar_kanji,meaning_mnemonic,reading_mnemonic,url,wk_level,srs_stage,StrokeImg,extra_reading_mnemonic
525,用,Task,Use,よう,もち,,71,用,Task,,,"The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for <radical>task</radical> first! If you know the radical, you know this kanji means <kanji>task</kanji> as well.","Today, your <kanji>task</kanji> is to eat <reading>yo</reading>gurt (よう). It's nutritious, it's delicious, and I'm telling you to do it, so you have to. A task is basically just something you have to do, so that's what this is.",https://www.wanikani.com/kanji/%E7%94%A8,3,,"<img src=""jisho_strokes_07528.png"">","用いる (もちいる) - What will need <kanji>to utilize</kanji> to get the job done? You have <reading>mochi</reading> (もち) in your hand, so you'll use that. You use mochi to glue up some stuff? Or for dessert your task is to eat mochi alongside with your yogurt?

You can think of this verb as a more formal way to say to use, and that is to utilize."
526,矢,Arrow,,し,や,,72,矢,Arrow,"850, 503, 511, 1887, 654, 1247, 543","生, 午, 牛, 朱, 失, 株, 先","The <radical>arrow</radical> radical and the <kanji>arrow</kanji> kanji are the same. Sort of a ""straight"" shot to memorizing this kanji, you know?","To remember the reading や we use the word “Yankees” (like the baseball team, go M’s!).

What is this arrow doing? It’s following around all the <reading>Ya</reading>nkee (や) baseball players, stalking them, waiting to make its move (I’ll let you decide what its “move” is).",https://www.wanikani.com/kanji/%E7%9F%A2,3,,"<img src=""jisho_strokes_077E2.png"">",
563,不,Not,,"ふ, ぶ",,,96,不,Not,,,The radical <radical>not</radical> and the kanji <kanji>not</kanji> are the same thing! That makes it easy... Not!,"To remember ふ we'll use the word ""fool.""

Think of those jokes, where someone says something, then ends with a loud ""<kanji>NOTTTT</kanji>!"" Someone is doing that to you, over and over. What is that person? That person is a <reading>foo</reading>l (ふ).",https://www.wanikani.com/kanji/%E4%B8%8D,4,,"<img src=""jisho_strokes_04E0D.png"">","Sometimes but not too often, this fool drinks <reading>boo</reading>ze. That's why they act like a fool, because they're drunk."
527,世,World,Generation,"せい, せ",よ,,83,世,World,,,"The <radical>world</radical> radical and the <kanji>world</kanji> kanji are the same, but there is another really important meaning you need to know: <kanji>generation</kanji>.

Think of it this way: the world is just made up of many different generations of people, plants, and animals all getting along together.","It's your job to protect the <kanji>world</kanji> and every <kanji>generation</kanji> with your special <reading>sa</reading>ber (せい). It was given to you to uphold correctness, and you'll pass it on to the next generation when it's time. Then they'll watch out for the world when you're gone.",https://www.wanikani.com/kanji/%E4%B8%96,4,,"<img src=""jisho_strokes_04E16.png"">","世界 (せかい) - What's the most loved vegetable in the world? <reading>Ce</reading>lery (せ), probably. It doesn't have much calories and lots of nutrients. But some people think they are empty calories somehow.

世 (よ) - Since you have generations of people making up this <kanji>world</kanji>, think of the rapper generation. What do they say all the time (obviously I don't know anything about rap)? They say ""<reading>Yo</reading> yo yo!"" (よ)."
528,主,Master,"Main, Lord",しゅ,"おも, ぬし, あるじ",,154,主,Master,"482, 489, 679, 794, 1286, 1745","王, 玉, 住, 注, 往, 柱","The radical <radical>master</radical> and the kanji <kanji>master</kanji> have the same meanings!

This kanji also means <kanji>main</kanji> because the master is the main person of a dojo or household or business.","Do you remember back to the radical mnemonic, where the <kanji>master</kanji> is floating a water drop above his head? Imagine back to there. Once you do, the most amazing thing happens. The master sends the drop of water into a <reading>chu</reading>te (しゅ) and he keeps bending the water along the entire chute.",https://www.wanikani.com/kanji/%E4%B8%BB,4,,"<img src=""jisho_strokes_04E3B.png"">","主に (おもに) - You <kanji>mainly</kanji> spend your time talking to your (water bending) master Moe. But you mainly address him like, ""<reading>Oh Moe</reading> The Great!"" (おも). That's because he's above you. Imagine yourself saying ""OH MOE THE GREAT!"" as you walk into his room, bowing low.

Moe is the <kanji>owner</kanji> of those <reading>nu</reading>de <reading>shee</reading>p (ぬし) and he doesn’t even need their wool, he just likes owning nude sheep. So he keeps them as pets and shaves them every day. He’s not interested in sheep with fur. Only nude sheep for this owner! Weird!

*** 主 is usually used with other words to indicate a person who owns something or who is principally involved in an action. That might sound a little vague, so check out the collocations and context sentences to get a better grasp of this word!"
564,仕,Doing,Do,し,つか,,"75, 97","ｲ, 士","Leader, Samurai",1142,任,The <radical>leader</radical> <radical>samurai</radical> didn't become leader by sitting around not taking action. He got to where he is by <kanji>doing</kanji>.,"He was <kanji>doing</kanji> things with <reading>shee</reading>p (し). He is the leader of the sheep clan, and he was able to do more with sheep than anyone else. That's why he's the leader.

Picture the leader samurai doing lots of sheep things. He's shearing sheep. He's feeding sheep. He's doing everything you could possibly do, because he's the leader samurai who loves sheep.",https://www.wanikani.com/kanji/%E4%BB%95,4,,"<img src=""jisho_strokes_04ED5.png"">","仕える (つかえる) - <kanji>To serve</kanji> you well, the leader samurai who loves sheep uses <reading>two ca</reading>rs (つか). If one breaks down, he can still serve you with the other car.

This verb is a bit archaic and therefore has a formal feel to it. It's used to talk about serving emperors, kings, and gods, among others."
529,他,Other,,た,ほか,,"75, 77","ｲ, 也","Leader, Alligator","1917, 573, 608","也, 池, 地","The <radical>leader</radical> of <radical>alligators</radical>... she's no ordinary leader, that's for sure. She's not a politician.. she's not a queen... She's one of the <kanji>Other</kanji> Ones, a group of strange, eccentric people who become leaders of animals.","To remember the reading た, we use the word ""Taco""

Then there's the <kanji>other</kanji>s of the others. These are the <reading>ta</reading>co (た) worshipers. They're really strange.",https://www.wanikani.com/kanji/%E4%BB%96,4,,"<img src=""jisho_strokes_04ED6.png"">","You need to go for a drive to the taco worship session and public gardens, but you aren't going to get your normal car, you're going to get your <kanji>other</kanji> car. Your <reading>hoe car</reading> (ほか)! It's a car made entirely out of garden hoes. You can drive it and hoe with it at the same time! It is quite

Exception is 他所 which means other place/another place that <reading>you saw</reading> (よそ)."
542,休,Rest,,きゅう,やす,,"75, 23","ｲ, 木","Leader, Tree",583,体,"The <radical>leader</radical> is next to the <radical>tree</radical>. What is he doing? He's leaning against it, <kanji>rest</kanji>ing.","As he <kanji>rest</kanji>s, he suddenly gets hungry and pulls a <reading>cu</reading>cumber (きゅう) off the tree and bites into it. A good rest isn't complete without some crunchy tree cucumbers. Yum.",https://www.wanikani.com/kanji/%E4%BC%91,4,,"<img src=""jisho_strokes_04F11.png"">","休む (やすむ) - You need <kanji>to rest</kanji>, right? Don't just answer with a ""yes,"" this deserves a ""<reading>YAASS</reading>"" (やす)! YAAASSS let's RESSST!!!"
498,元,Origin,,"げん, がん",もと,,64,元,Origin,1169,示,The <radical>origin</radical> radical and the <kanji>origin</kanji> kanji are the same!,"The <kanji>origin</kanji> of everything can be found in <reading>Gen</reading>ji (げん). Genji is the name of the main character in the world's first ever novel, ""The Tale of Genji.""

Picture him as a rich, pretty boy who cares a ton about his looks and gets along really well with all the ladies. He's also really great at poetry, which helps the lady situation.",https://www.wanikani.com/kanji/%E5%85%83,4,,"<img src=""jisho_strokes_05143.png"">","You're trying to trace a person back to their <kanji>origin</kanji> so you can learn more about them. You finally get there - it's a castle. The problem is that it's surrounded by a huge <reading>moat</reading> (もと) and you can't get past it because the drawbridge is up. Feel the frustration of this. Think about your goal and how close you are to getting to it if it wasn't for this lousy moat.

Occasionally, <reading>Gan</reading>dhi (がん) sits on the moat to try to help you pass through the moat and enter the building. What a nice guy."
543,先,Previous,"Ahead, Before, Past, Former",せん,"さき, ま",,"5, 17, 28","丿, 土, 儿","Slide, Dirt, Legs","654, 526, 850, 1887, 945, 532","失, 矢, 生, 朱, 夫, 去","If you go down a <radical>slide</radical> and get <radical>dirt</radical> on your <radical>legs</radical>, it must have been the fault of the <kanji>previous</kanji> person, aka the person who went down the slide <kanji>ahead</kanji> of you. They should've cleaned off their dirty legs <kanji>before</kanji> they went down the slide, but they didn't, and now you've got dirt all over your legs too.","Then you realize: the <kanji>previous</kanji> person on the slide must've been a <reading>cen</reading>taur (せん). Centaurs track dirt everywhere 'cause they're always galloping around in the wilderness.

If you look really far off into the distance ahead of you, you might still be able to spot this dirty, slide-ruining centaur. Hurry up and go after him before he gets on another slide!",https://www.wanikani.com/kanji/%E5%85%88,4,,"<img src=""jisho_strokes_05148.png"">","先ず (<reading>ま</reading>ず) - <kanji>First of all</kanji> and <kanji>to start with</kanji>, you have to make it through this maze (まず) with your <reading>Ma</reading>ma (ま). This maze is the maze of life?

Just <kanji>ahead</kanji> of you are the <kanji>tip</kanji>s of a <reading>saw</reading> and a <reading>key</reading>(さき). You have no idea what they're doing there, but both saws and keys have very sharp tips, so watch out you don't hurt yourself. Imagine yourself moving carefully past those saw and key tips."
531,写,Copy,,しゃ,うつ,,"76, 8766, 1","冖, 一","Forehead, Beggar, Ground",1249,与,"The <radical>forehead</radical> of this <radical>beggar</radical> is on the <radical>ground</radical>. Except it's not exactly the ground, it's a giant <kanji>copy</kanji> machine, and he's making copies of his forehead!","This ground <kanji>copy</kanji> machine can only be the work of one person: a <reading>sha</reading>man (しゃ)!

This particular shaman's specialty is being able to turn any surface into a copy machine at a swirl of his little shaman dance. Picture him running around in circles, doing a little dance and chant, and then the ground suddenly turning into one giant copy machine.",https://www.wanikani.com/kanji/%E5%86%99,4,,"<img src=""jisho_strokes_05199.png"">","Think of yourself as a beatboxer, you're in a beatbox battle. You're saying <reading>うつ</reading>うつうつ over and over again. The other beatboxer is going <kanji>to copy</kanji> everything you do.

写す (<kanji>To Copy</kanji>) vs. 写る (<kanji>To Be In A Photograph</kanji>)."
532,去,Past,,"きょ, こ",さ,,"17, 140","土, ム","Dirt, Private","949, 543, 654","法, 先, 失","If someone tries to dig up <radical>dirt</radical> on your <radical>private</radical> life, tell them no thanks, that stuff is in the <kanji>past</kanji>. Some things should stay in the past. Not everyone needs to know everything about your life and your past.","To remember the reading きょ, we'll use ""Little Kyoto."" This will differentiate きょ from きょう, which is regular-sized Kyoto. Get it? You decide to bury all this private dirt from your <kanji>past</kanji> in Little <reading>Kyo</reading>to (きょ). That stuff is from when you were just a little <reading>子</reading> (こ) and you don't like to think about it (it's embarrassing).",https://www.wanikani.com/kanji/%E5%8E%BB,4,,"<img src=""jisho_strokes_053BB.png"">","去る (さる) - You will want <kanji>to leave</kanji>, if you see a <reading>saw</reading> (さ) pointing at you. You know saws can be deadly weapons, you should immediately leave when someone is brandishing one at you!"
533,号,Number,,ごう,,,"16, 1, 14","口, 一, 勹","Mouth, Ground, Prison",,,"There's a <radical>mouth</radical> in the <radical>ground</radical> (in our case, it's a hatch), and inside is some kind of <radical>prison</radical> you can't quite get to. If you've ever seen Lost, this will sound familiar... on the hatch, there's actually a series of <kanji>number</kanji>s that you don't understand.","""You want to know the <kanji>number</kanji> to the hatch?"" yells an old voice from inside. You say ""yes,"" and the voice gives you the numbers and you're in! You go down into the prison, where there is one prisoner: Grandpa <reading>ごう</reading>いち.

Note: For the ごう reading mnemonics, we use Grandpa ごういち because こういち is used for the こう reading. So just remember that ごう comes from Koichi's grandpa ごういち.",https://www.wanikani.com/kanji/%E5%8F%B7,4,,"<img src=""jisho_strokes_053F7.png"">",
544,名,Name,Famous,"めい, みょう",な,,"33, 16","夕, 口","Evening, Mouth",1162,各,"What is the <radical>evening</radical> <radical>mouth</radical>? Imagine a mouth that’s up in the night sky. It’s just there, talking, and only comes out at night. It only appears in one area of the world (what area would you choose? Imagine yourself going to that place to see the “night mouth.”), and appears only one month out of the year (more on this in a second). The “evening mouth” is the most famous thing in the _____ area (this is the area you choose). He’s so <kanji>famous</kanji> that everybody knows his <kanji>name</kanji> (“Evening Mouth.”).","So, when does “Evening Mouth” appear? Turns out, “Evening Mouth” only comes out to talk in <reading>May</reading> (めい). You know this because it’s just starting to be spring, and when you look around (you’re watching “Evening Mouth” again) you see some spring flowers come up.",https://www.wanikani.com/kanji/%E5%90%8D,4,,"<img src=""jisho_strokes_0540D.png"">","君の名は (きみの<reading>な</reading>は)? Your <kanji>Name</kanji>?

名字 (みょうじ) - Imagine you and your significant other marry, and you're trying to decide your future (surname). ""Let's just combine 'me' and 'you' and go with <reading>Myou</reading> (みょう),"" you say. Yes, from now on, you two will share the surname Myou."
534,央,Center,Centre,おう,,,231,央,Center,"893, 953","映, 英",The radical for <radical>center</radical> and the kanji for <kanji>center</kanji> are exactly the same.,"Remember that guy from the 央 radical fastening his belt across the <kanji>center</kanji> of his body? This guy always secures his belt at the center — not slightly to the left, not slightly to the right, but dead center. His precision is so mind-blowing that everyone watching can't help but say, ""<reading>Ohh</reading>!""(おう).",https://www.wanikani.com/kanji/%E5%A4%AE,4,,"<img src=""jisho_strokes_0592E.png"">",
1520,宝,Treasure,,ほう,たから,,"78, 48, 3","宀, 王, 丶","Roof, King, Drop",,,"Under his <radical>roof</radical>, the <radical>king</radical> stares into a <radical>drop</radical> of water containing his greatest <kanji>treasure</kanji>. Just kidding, the king has way more treasure than that. The drop of water is just reflecting what's around him: mounds and mounds of treasure, stacked all the way up to the roof.","All of this <kanji>treasure</kanji> is kept in the king's <reading>ho</reading>me (ほう). He can't let other people see how much treasure he has, or they'll get mad. Or worse, ask him to share some with his people. ""Eww"", says the king. The treasure stays at home.",https://www.wanikani.com/kanji/%E5%AE%9D,4,,"<img src=""jisho_strokes_05B9D.png"">","Your <kanji>treasure</kanji> has a <reading>tackler</reading> (たから) guarding it at all times. He tackles anyone who gets close. If someone wants your treasure, they have to go through the tackler!"
535,平,Flat,"Peace, Ordinary, Common, Plain","へい, ひょう, びょう","たい, ひら",,"61, 8767","干, 丷","Dry, Horns",518,半,If you want to <radical>dry</radical> your <radical>horns</radical> you need to lay them <kanji>flat</kanji>. If they aren't flat they'll always be a little damp somewhere and you'll never have a moment's <kanji>peace</kanji>.,"Being <kanji>flat</kanji> isn't enough, so you cover the whole thing in <reading>hay</reading> (へい). Hay absorbs water, so you add a flat layer of it.",https://www.wanikani.com/kanji/%E5%B9%B3,4,,"<img src=""jisho_strokes_05E73.png"">","To make sure the hay does not move and stay <kanji>flat</kanji>, you <reading>tie</reading> (たい) the hay bundles up together.

平仮名 is <reading>Hira</reading>gana (ひら)."
546,年,Year,,ねん,とし,,"8762, 126","𠂉, 牛","Gun, Cow","511, 503, 850","牛, 午, 生","You have a <radical>gun</radical> and a <radical>cow</radical>, which must mean it's that time of the <kanji>year</kanji>! Every year on New Year's Eve, you get asked to shoot a cow, as per tradition. You really don't want to though, so you deliberately miss every time.","It seems everyone has caught on to the fact that you deliberately miss every <kanji>year</kanji>, so this year you make a <reading>nen</reading>doroid (ねん) decoy in the shape of a cow.",https://www.wanikani.com/kanji/%E5%B9%B4,4,,"<img src=""jisho_strokes_05E74.png"">","<kanji>Year</kanji> is <reading>とし</reading>.

This <kanji>year</kanji> you plan on <reading>tossi</reading>ng (とし) out all your old stuff as a New Year's resolution. You pronounce it ""toshing"" though, because it has more vigor that way."
536,打,Hit,"Strike, Pound, Blow",だ,"う, ぶ",,"63, 27","扌, 丁","Fingers, Street",2037,灯,Take your <radical>fingers</radical> to the <radical>street</radical> to <kanji>hit</kanji> some people! Street fingers are for curling into a fist. And that street fist wants to do some hitting!,"As you <kanji>hit</kanji> one chump after another, suddenly your <reading>da</reading>d (だ) comes marching out of your house. Uh oh. Dad caught you hitting, which, honestly, isn't a very nice thing to do, so he has every right to stop you.",https://www.wanikani.com/kanji/%E6%89%93,4,,"<img src=""jisho_strokes_06253.png"">","打つ (うつ) - If you’re planning <kanji>to hit</kanji> an <reading>u</reading>ni (う), don't use your bare hands! You’re going to need a special bat or hammer. I don’t know why you’d want to hit a sea urchin, but make sure you have the right equipment if you do, because those things are spiky!

You can use this word to describe bumping a part of your body on something, hitting a ball or a nail, or typing on a keyboard. It can also describe hitting a person, but that use is less common and sounds a bit literary."
547,早,Early,"Fast, Quick",そう,"はや, さ",,"22, 15","日, 十","Sun, Cross",942,単,"When the <radical>sun</radical> is above the <radical>cross</radical>, it's time for some people to go church — which is always way too <kanji>early</kanji> on a Sunday, am I right? And if you want to get to church early, you need to be <kanji>fast</kanji>, otherwise you'll be too late.","To remember the そう reading we use the word ""soul.""

When you're forced to get up <kanji>fast</kanji> and <kanji>early</kanji> you can feel it in your <reading>sou</reading>l (そう). You're so tired and it's so early, your soul cries out, ""Please don't make me go this fast this early. I'm gonna leave your body if you keep this up!""",https://www.wanikani.com/kanji/%E6%97%A9,4,,"<img src=""jisho_strokes_065E9.png"">","早い (はやい) - You're <kanji>fast</kanji>! You're <kanji>early</kanji>! Your chop comes down onto your opponent's neck so quickly! As you chop him, you yell ""<reading>HAYA</reading>!"" (はや).

早速 (<reading>さっ</reading>そく) - think about how you're learning this word <kanji>at once</kanji> and <kanji>without delay</kanji> so there's no time for any <reading>sass</reading> (さっ), just kanji learning."
554,村,Village,,そん,むら,,"23, 74","木, 寸","Tree, Measurement","550, 652, 683, 909","竹, 付, 対, 材",Someone's taking <radical>tree</radical> <radical>measurements</radical>… Why are they taking measurements of trees? Because they're planning to cut them down to make their <kanji>village</kanji>.,"They take all the wood back to where they're building their <kanji>village</kanji>, and once they construct the village center they paint a <reading>mura</reading>l (むら) on the side of it. The mural is of the forest where they got the trees from, to honor the village's origins.

Look at the mural on the side of this newly constructed village center. So many trees! Visualize the whole process of the tree becoming a building, as you reflect on the message of the mural.",https://www.wanikani.com/kanji/%E6%9D%91,4,,"<img src=""jisho_strokes_06751.png"">",
548,気,Energy,Spirit,"き, け",,,"82, 31","气, メ","Energy, Treasure",,,"These days <radical>energy</radical> is the greatest <radical>treasure</radical>. Not gold, money, or anything like that. Imagine finding some in a literal treasure chest. As soon as you open it, out bursts the <kanji>energy</kanji> in a kind of <kanji>spirit</kanji> ball.","As you reach inside the <kanji>energy</kanji> <kanji>spirit</kanji> ball, you feel something hard inside. It's a large <reading>key</reading> (き) that gives you access to another treasure. 

Is it happiness?",https://www.wanikani.com/kanji/%E6%B0%97,4,,"<img src=""jisho_strokes_06C17.png"">",There's a lot of <kanji>energy</kanji> in hot water inside a <reading>ke</reading>ttle (け).
537,氷,Ice,,ひょう,こおり,,"3, 45","丶, 水","Drop, Water","717, 590, 574, 832, 1486, 479, 913","泳, 来, 米, 球, 永, 水, 求","Add a <radical>drop</radical> of something magical to <radical>water</radical> and suddenly it turns into big block of <kanji>ice</kanji>, just like that.",<kanji>Ice</kanji> is <reading>こおり</reading> / Koori.,https://www.wanikani.com/kanji/%E6%B0%B7,4,,"<img src=""jisho_strokes_06C37.png"">","Hey! (<reading>ひょう</reading>) I want some ice in my drink, please."
538,申,Say Humbly,"Say, Humbly Say",しん,もう,,"15, 16","十, 口","Cross, Mouth","648, 1732, 1617","由, 甲, 伸","There's a <radical>cross</radical> inside your <radical>mouth</radical>, so the things you say are very pious. Everything you say, you <kanji>say humbly</kanji>.","As you're saying all these humble things, you're also <reading>mow</reading>ing (もう) your neighbor's lawn. Your neighbors love you so much, because you're so humble, and you mow their lawn for them.",https://www.wanikani.com/kanji/%E7%94%B3,4,,"<img src=""jisho_strokes_07533.png"">","申請 (しんせい) - When you (say humbly) that you're (requesting) something, you're putting forward an (application). Mowing is a rough gig. Today you finally submitted your application for a new <reading>shin</reading> (しん). Your old one had to be painstakingly removed after you banged it against a table. Anyway, congrats on the application for your new shin!

申請 refers to the process of officially applying for approval or permission, like ビザの申請 (application for a visa), ライセンスの申請 (application for a license), or 休暇の申請 (application for leave/vacation)."
555,男,Man,,"だん, なん",おとこ,,243,男,Man,941,勇,The radical for <radical>man</radical> and the kanji for <kanji>man</kanji> are exactly the same.,"When you think of a <kanji>man</kanji>, think of <reading>dawn</reading> (だん), because that man has to get up at dawn to power his rice paddy every day.",https://www.wanikani.com/kanji/%E7%94%B7,4,,"<img src=""jisho_strokes_07537.png"">",A <kanji>man</kanji> is an <reading>おとこ</reading> / Otoko.
556,町,Town,,ちょう,まち,,"51, 27","田, 丁","Rice Paddy, Street",,,"When you see both a <radical>rice paddy</radical> and a <radical>street</radical> in the same place, you have the makings of a whole <kanji>town</kanji>!","You go to visit this nice little <kanji>town</kanji>. But then, there she is... Every time you walk down the street, the street-woman Mrs. <reading>Chou</reading> (ちょう) arrives to ruin your day. She's scary, but you won't let her ruin your town experience!",https://www.wanikani.com/kanji/%E7%94%BA,4,,"<img src=""jisho_strokes_0753A.png"">",(similar to 街) <kanji>Town</kanji> is <reading>まち</reading> / Machi.
549,百,Hundred,100,ひゃく,もも,,"8763, 22","丆, 日","Leaf, Sun",9051,頁,"There is a <radical>leaf</radical> growing out of the <radical>sun</radical>! You fly out into space to check it out and when you get closer you see that it isn't just one leaf, it's a <kanji>hundred</kanji>! That makes sense, you wouldn't be able to see just one leaf on the sun from where you were on earth.","You fly closer, counting all one <kanji>hundred</kanji> leaves when you hear a strange sound. You take off your space helmet and hear, ""GUH <reading>HYUCK</reading> (ひゃく)!"" You know that laugh... it's Goofy! On top of the hundredth leaf is Goofy laughing and waving around. He must have built this leaf tower to get your attention.",https://www.wanikani.com/kanji/%E7%99%BE,4,,"<img src=""jisho_strokes_0767E.png"">",
540,皿,Plate,Dish,,さら,,84,皿,Plate,619,血,"The <kanji>plate</kanji> kanji and the <radical>plate</radical> radical are exactly the same, like two matching pieces of china.",The person washing all the <kanji>dish</kanji>es was named <reading>Sarah</reading> (さら). Sarah likes washing saras/plates.,https://www.wanikani.com/kanji/%E7%9A%BF,4,,"<img src=""jisho_strokes_076BF.png"">",
493,石,Stone,,せき,いし,,54,石,Stone,"486, 484","左, 右",The <radical>stone</radical> radical and <kanji>stone</kanji> kanji are the same thing!,"You throw a <kanji>stone</kanji> through a window... and, now you can see something very <reading>sexy</reading> (せき). Whoops, maybe you shouldn't throw stones through windows or you'll see people's sexy times.",https://www.wanikani.com/kanji/%E7%9F%B3,4,,"<img src=""jisho_strokes_077F3.png"">",You pick up a <kanji>stone</kanji>. You throw it through a window. Huh. That was surprisingly <reading>easy</reading> (いし). You're so strong.
541,礼,Thanks,"Etiquette, Bow",れい,,,"80, 211","ネ, 乚","Spirit, Umbrella","649, 1079, 2119","札, 乱, 孔","What do you get if you lend a <radical>spirit</radical> your <radical>umbrella</radical>? <kanji>Thanks</kanji>, of course! Especially if that spirit is Totoro, the spirit of the forest.","So what did you receive as a <kanji>thanks</kanji>? You open it up, and there's a <reading>ray</reading> (れい) gun inside!

Thanks for the new ray gun, Totoro!",https://www.wanikani.com/kanji/%E7%A4%BC,4,,"<img src=""jisho_strokes_0793C.png"">",
1118,穴,Hole,Cave,けつ,あな,,170,穴,Hole,471,六,The <radical>hole</radical> radical and the <kanji>hole</kanji> kanji are exactly the same! Spectacular!,<reading>Ana</reading> (あな) fell into a <kanji>hole</kanji>. People are worried about Ana and her unfortunate accident of having fallen into a hole. Ana – you’re so clumsy!,https://www.wanikani.com/kanji/%E7%A9%B4,4,,"<img src=""jisho_strokes_07A74.png"">","The <kanji>hole</kanji> has a lot of <reading>ketsup</reading> (けつ), uh oh it looks like a lot of people fall into this hole often, not just Ana."
550,竹,Bamboo,,ちく,たけ,,85,竹,Bamboo,"652, 554","付, 村",The <radical>bamboo</radical> radical and the <kanji>bamboo</kanji> kanji are exactly the same!,"Today is free <kanji>bamboo</kanji> day, so you can <reading>take</reading> (たけ) all the bamboo you want.",https://www.wanikani.com/kanji/%E7%AB%B9,4,,"<img src=""jisho_strokes_07AF9.png"">",
551,糸,Thread,,し,いと,,86,糸,Thread,,,The <radical>thread</radical> radical and <kanji>thread</kanji> are the same in looks as well as in meaning.,"You have some <kanji>thread</kanji>... what's the first thing you do with it? You take it and put it in your mouth, and start sucking it down like spaghetti. You have decided to <reading>eat</reading> (いと) the thread.",https://www.wanikani.com/kanji/%E7%B3%B8,4,,"<img src=""jisho_strokes_07CF8.png"">","You got the <kanji>thread</kanji> from <reading>shee</reading>p (し)! As you eat the thread, the sheep watch in shock. ""He's eating my threads, what?!"""
552,耳,Ear,Ears,じ,みみ,,88,耳,Ear,,,The <radical>ear</radical> radical and <kanji>ear</kanji> kanji are the same in looks as well as meaning.,"Put your hand to your <kanji>ear</kanji> and sing... ""<reading>Mimi</reading>mimimimiiiii!"" (みみ) and listen to your tone with your ear.",https://www.wanikani.com/kanji/%E8%80%B3,4,,"<img src=""jisho_strokes_08033.png"">",
557,花,Flower,,"か, け",はな,,"90, 75, 57","艹, ｲ, 匕","Flowers, Leader, Spoon",,,All these <radical>flowers</radical> were planted by your <radical>leader</radical> with nothing but a <radical>spoon</radical>. Now the whole place is absolutely full with beautiful <kanji>flower</kanji>s. Flowers everywhere.,"But for some reason, the leader just can't stop planting <kanji>flower</kanji>s... He's going crazy. Maybe it's the pollen? Now there’s only one person that can save him: <reading>Hannah</reading> (はな).",https://www.wanikani.com/kanji/%E8%8A%B1,4,,"<img src=""jisho_strokes_082B1.png"">",The leader even put a bunch of <kanji>flower</kanji>s on her <reading>ca</reading>r to show her how much he likes her.
553,虫,Insect,Bug,"ちゅう, き",むし,,89,虫,Insect,,,The <radical>insect</radical> radical and <kanji>insect</kanji> are the same in looks as well as and meaning.,It's an <kanji>insect</kanji>! Get it! You squish it with your foot - what sound does it make? A <reading>mush</reading> (むし) sound.,https://www.wanikani.com/kanji/%E8%99%AB,4,,"<img src=""jisho_strokes_0866B.png"">","Did you know that <kanji>insect</kanji>s are <reading>Chew</reading>bacca's (ちゅう) favorite thing? He's fascinated by all types of insects, and keeps them in boxes as pets. There are a good few of them crawling around in his fur, too."
558,見,See,,けん,み,,91,見,See,"1025, 559","覚, 貝","The radical <radical>see</radical> and the kanji <kanji>see</kanji> are exactly the same!

(This eye has legs, since you have to let your eyes run over something in order to see it. That's why those eyes need legs — to see. They're wandering eyes, they want to see the world!)","You see something. It's walking towards you, but you need to <kanji>see</kanji> better. When the person comes close, you realize ""That person is <reading>me</reading> (み)!""",https://www.wanikani.com/kanji/%E8%A6%8B,4,,"<img src=""jisho_strokes_0898B.png"">","Also another person you <kanji>see</kanji> is <reading>Ken</reading> (けん) the samurai. Ken likes to be around and be seen just in case he is needed, since he is a samurai."
559,貝,Shellfish,Shell,ばい,かい,,94,貝,Shellfish,"558, 710, 733, 9051","見, 具, 負, 頁",The <radical>shellfish</radical> radical and the <kanji>shellfish</kanji> kanji are the same! It can be just the <kanji>shell</kanji> part too.,"To get some <kanji>shellfish</kanji>, all you have to do is hop in your <reading>kay</reading>ak (かい) and get some. Shellfish live in the water.",https://www.wanikani.com/kanji/%E8%B2%9D,4,,"<img src=""jisho_strokes_08C9D.png"">",
560,赤,Red,,せき,あか,,92,赤,Red,,,The radical for <radical>red</radical> and the kanji for <kanji>red</kanji> are the same thing!,"This kanji means <kanji>red</kanji>, <reading>AKA</reading>, also known as, あか.",https://www.wanikani.com/kanji/%E8%B5%A4,4,,"<img src=""jisho_strokes_08D64.png"">","The color <kanji>red</kanji> can be <reading>sexy</reading> (せき) sometimes like with clothing, but not dysentery!

赤痢 (せきり) - You know what (dysentery) isn't? <reading>Sexy</reading> (せき). If anyone tries to seduce you by saying they have dysentery and they'd like to share it with you, tell them how NOT sexy that is and get the heck away from them!"
561,足,Foot,"Leg, Sufficient",そく,"あし, た",,95,足,Foot,1015,是,"The radical for <radical>foot</radical> and the kanji for <kanji>foot</kanji> are exactly the same.

That being said, there's also another meaning you should keep in mind, which is <kanji>sufficient</kanji>. If you think about it, one foot should be sufficient enough to walk around with if you hop.","What do you wear on your <kanji>foot</kanji>? You wear a <reading>sock</reading> (そく). Ahhh, so nice!",https://www.wanikani.com/kanji/%E8%B6%B3,4,,"<img src=""jisho_strokes_08DB3.png"">","<kanji>Leg</kanji> is <reading>あし</reading> / Ashi. Make sure to put on lotion so your legs aren't <reading>ashy</reading> (あし).

足りる (たりる) - What do you have enough of? What is sufficient? Turns out it's <reading>ta</reading>cos (た). Your bunker is filled with them and it's going <kanji>to be enough</kanji> to last the winter."
